term,GVIF,Df,GVIF^(1/(2*Df))
year_c,9.369219254083246,1,3.060918041059454
post_2002,77.0404465612322,1,8.77726874154097
post_2009,105.88427021890087,1,10.290008271080294
arrangement_type,10.721020455287888,9,1.1408678460674082
log_n_conditions,1.616051476855034,1,1.2712401334346843
log_loan_size,1.6889871063321555,1,1.2996103671224524
region,3.6277944194992506,4,1.1747767249375414
transition_economy,2.5055779468170343,1,1.5829017489462303
repeat_borrower,1.2851785437470866,1,1.1336571544109297
year_c:post_2002,170.0257448943646,1,13.039392044660849
year_c:post_2009,208.68523848984123,1,14.445941938476745
