term,estimate,std.error,statistic,p.value,irr
(Intercept),0.129220226427183,0.12139667400239339,1.064446184288668,0.2871266212280438,1.138
year_c,0.010105022862875986,0.0025117422494392804,4.02311298666566,5.7433926070720194e-5,1.01
post_2002,-0.09178110879965592,0.04096957185470744,-2.2402262128865815,0.025076240731395708,0.912
post_2009,-0.001033474232147008,0.043267250383721624,-0.02388583103805992,0.9809436762533665,0.999
arrangement_typeEFF,0.01904603539820781,0.052826348932228324,0.36054044587942735,0.7184430160057301,1.019
arrangement_typeESAF,0.1349445901800621,0.04826058956035328,2.7961653889723905,0.005171292930239467,1.144
arrangement_typePRGF,0.06401831393986798,0.04654359931285031,1.3754482868752491,0.16899250760353812,1.066
arrangement_typeSAF,0.16930547478349992,0.07363046271148335,2.299394415690602,0.021482552764940557,1.184
arrangement_typeSBA,0.02531070093377053,0.0496245201070592,0.510044245851962,0.6100204642195792,1.026
"arrangement_typeSBA, CCFF",0.02251393824770821,0.07744649562307136,0.29070312435158513,0.7712783818655131,1.023
"arrangement_typeSBA, SAF",0.13932866143428624,0.08868090596166793,1.5711235685223002,0.11615394908364274,1.15
"arrangement_typeSBA, STF",0.034120729488451344,0.08828213529940339,0.38649642277832325,0.6991290513999101,1.035
arrangement_typeOther,0.09012570717791532,0.05061480292862092,1.7806195413822772,0.07497462520245793,1.094
log_n_conditions,0.5427354605461211,0.01856849556667592,29.228833245927856,8.343951453896195e-188,1.721
log_loan_size,-0.010719548144285681,0.007232467047984714,-1.482142687020278,0.13830233262933422,0.989
regionAPD,-0.08478680276735712,0.03922358156938157,-2.161628269906458,0.03064684060931664,0.919
regionEUR,-0.04788766254914184,0.046304026071867836,-1.0342008376294551,0.3010422826507555,0.953
regionMCD,-0.0046724985447791035,0.03568972566751753,-0.13091999048431208,0.8958386006721575,0.995
regionWHD,-0.012828527857514066,0.03380255060582331,-0.3795136055592219,0.7043065028734983,0.987
transition_economy,0.017937258962828637,0.04186517229943142,0.42845300706124756,0.6683213398547865,1.018
repeat_borrower,-0.02145183936297825,0.025405037694262247,-0.8443931326196444,0.3984497585994644,0.979
log_gdp_pc,0.007642247365578896,0.015386951047570697,0.49667067516832447,0.619421305085569,1.008
any_crisis,0.009243389390123598,0.03356324318586802,0.2754021516614215,0.7830072911933336,1.009
