term,estimate,cluster_se,cluster_z,cluster_p,irr,irr_ci_low,irr_ci_high
(Intercept),0.18999975427918211,0.050025331152114105,3.798070895351836,1.4582661816221296e-4,1.209,1.096,1.334
year_c,0.009627438423057449,0.0013363319251778322,7.204376578653001,5.831001078064573e-13,1.01,1.007,1.012
post_2002,-0.09104883279015175,0.02278879964904832,-3.9953325402092434,6.460350844034249e-5,0.913,0.873,0.955
post_2009,-0.003695119413275504,0.025585823091934932,-0.14442058010008932,0.8851683665954471,0.996,0.948,1.048
arrangement_typeEFF,0.011418190576031098,0.0380532592137307,0.30005815039125716,0.7641328003076332,1.011,0.939,1.09
arrangement_typeESAF,0.12065537488557834,0.03263077082718701,3.697594994754209,2.1765178027118888e-4,1.128,1.058,1.203
arrangement_typePRGF,0.05395480576844213,0.03143284628457898,1.7165103433510083,0.08606867649202415,1.055,0.992,1.123
arrangement_typeSAF,0.152984699103452,0.043710521182820705,3.4999513838690786,4.65343018202872e-4,1.165,1.07,1.27
arrangement_typeSBA,0.010308858721246676,0.03645696205870637,0.28276790327856716,0.7773547600555482,1.01,0.941,1.085
"arrangement_typeSBA, CCFF",0.006845748167288463,0.048955032014505094,0.13983747708019284,0.8887884017732925,1.007,0.915,1.108
"arrangement_typeSBA, SAF",0.1317659141661293,0.0632513101416946,2.0832124088963426,0.03723186652103228,1.141,1.008,1.291
"arrangement_typeSBA, STF",0.02066090911741035,0.05516537318271311,0.37452677151261893,0.7080124427186423,1.021,0.916,1.137
arrangement_typeOther,0.079779156536141,0.0379091705585468,2.104481721986777,0.035336447370161575,1.083,1.005,1.167
log_n_conditions,0.5424888668031764,0.0124382189783878,43.614674073980005,0,1.72,1.679,1.763
log_loan_size,-0.008459632617036326,0.004950407131181636,-1.7088761374293384,0.08747389554828959,0.992,0.982,1.001
regionAPD,-0.0850275273620563,0.03353428302842641,-2.5355403391204154,0.011227399673321483,0.918,0.86,0.981
regionEUR,-0.03179947729217916,0.03406519187067959,-0.9334888649063925,0.3505676170307579,0.969,0.906,1.036
regionMCD,-0.0060651461331190214,0.02468264390495413,-0.2457251401622201,0.8058950097273387,0.994,0.947,1.043
regionWHD,-0.005686152330273444,0.02154342034505756,-0.2639391628255514,0.7918267977458897,0.994,0.953,1.037
transition_economy,0.014467651155586564,0.02946597814255312,0.4909951091931746,0.6234299067143607,1.015,0.958,1.075
repeat_borrower,-0.022224854113236055,0.018888762498660075,-1.1766177966826907,0.23934809124541614,0.978,0.942,1.015
